Atomosphere of build,Same Layer Scanned?,Build Direction [degrees],Power [W],Velocity [m/s],Hatch Spacing [μm],Beam Diameter [μm],d90 [um],Nucleants,Powder Shape [0-1],Powder Layer Thickness [μm],Atomization Atomosphere,Powder Recycled How Many Times?,Initial Powder Bed Temperature [K],Substrate/Platform Temperature [K],Printability Evaluation,Surface Energy Density [J/mm2],Linear Energy Density [J/mm],Volume Energy Density [J/mm3]
Argon,1,Z - direction,200.0,0.95,140.0,50.0,48.5,0,1,60.0,Gas,0.0,298.0,388.13,Fail,1503.7593984962405,210.5263157894737,25062.65664160401
Argon,1,Z - direction,200.0,0.95,200.0,50.0,48.25,0,1,60.0,Gas,0.0,298.0,388.13,Fail,1052.6315789473683,210.5263157894737,17543.85964912281
Argon,1,Z - direction,200.0,1.2,80.0,50.0,48.0,0,1,60.0,Gas,0.0,298.0,388.13,Success,2083.3333333333335,166.66666666666669,34722.222222222226
Argon,1,Z - direction,200.0,1.2,140.0,50.0,47.75,0,1,60.0,Gas,0.0,298.0,388.13,Fail,1190.4761904761904,166.66666666666669,19841.269841269845
Argon,1,Z - direction,200.0,1.2,200.0,50.0,47.5,0,1,60.0,Gas,0.0,298.0,388.13,Fail,833.3333333333334,166.66666666666669,13888.888888888889
Argon,1,Z - direction,280.0,0.7,80.0,50.0,47.25,0,1,60.0,Gas,0.0,298.0,388.13,Fail,5000.0,400.0,83333.33333333334
Argon,1,Z - direction,280.0,0.7,140.0,50.0,47.0,0,1,60.0,Gas,0.0,298.0,388.13,Fail,2857.142857142857,400.0,47619.04761904762
Argon,1,Z - direction,280.0,0.7,200.0,50.0,46.75,0,1,60.0,Gas,0.0,298.0,388.13,Fail,1999.9999999999998,400.0,33333.333333333336
Argon,1,Z - direction,280.0,0.95,80.0,50.0,46.5,0,1,60.0,Gas,0.0,298.0,388.13,Fail,3684.2105263157896,294.7368421052632,61403.508771929824
Argon,1,Z - direction,280.0,0.95,140.0,50.0,46.25,0,1,60.0,Gas,0.0,298.0,388.13,Fail,2105.2631578947367,294.7368421052632,35087.71929824562
Argon,1,Z - direction,280.0,0.95,200.0,50.0,46.0,0,1,60.0,Gas,0.0,298.0,388.13,Fail,1473.6842105263158,294.7368421052632,24561.40350877193
Argon,1,Z - direction,280.0,1.2,80.0,50.0,45.75,0,1,60.0,Gas,0.0,298.0,388.13,Fail,2916.6666666666665,233.33333333333334,48611.11111111112
Argon,1,Z - direction,280.0,1.2,140.0,50.0,45.5,0,1,60.0,Gas,0.0,298.0,388.13,Fail,1666.6666666666665,233.33333333333334,27777.77777777778
Argon,1,Z - direction,280.0,1.2,200.0,50.0,45.25,0,1,60.0,Gas,0.0,298.0,388.13,Fail,1166.6666666666667,233.33333333333334,19444.444444444445
Nitrogen,1,90,370.0,0.2,80.0,100.0,45.0,0,1,20.0,Gas,0.0,298.0,298.0,Success,23125.0,1850.0,1156250.0
Nitrogen,1,90,370.0,0.3,80.0,100.0,45.0,0,1,20.0,Gas,0.0,298.0,298.0,Success,15416.666666666666,1233.3333333333335,770833.3333333334
Nitrogen,1,90,370.0,0.4,80.0,100.0,45.0,0,1,20.0,Gas,0.0,298.0,298.0,Success,11562.5,925.0,578125.0
Nitrogen,1,90,370.0,0.5,80.0,100.0,45.0,0,1,20.0,Gas,0.0,298.0,298.0,Success,9250.0,740.0,462500.00000000006
Nitrogen,1,90,350.0,0.2,80.0,100.0,45.0,0,1,20.0,Gas,0.0,298.0,298.0,Success,21875.0,1750.0,1093750.0
Nitrogen,1,90,350.0,0.3,80.0,100.0,45.0,0,1,20.0,Gas,0.0,298.0,298.0,Success,14583.333333333332,1166.6666666666667,729166.6666666667
Nitrogen,1,90,350.0,0.4,80.0,100.0,45.0,0,1,20.0,Gas,0.0,298.0,298.0,Success,10937.5,875.0,546875.0
Nitrogen,1,90,350.0,0.5,80.0,100.0,45.0,0,1,20.0,Gas,0.0,298.0,298.0,Success,8750.0,700.0,437500.00000000006
Nitrogen,1,90,330.0,0.2,80.0,100.0,45.0,0,1,20.0,Gas,0.0,298.0,298.0,Success,20625.0,1650.0,1031250.0000000001
Nitrogen,1,90,330.0,0.3,80.0,100.0,45.0,0,1,20.0,Gas,0.0,298.0,298.0,Success,13750.0,1100.0,687500.0000000001
Nitrogen,1,90,330.0,0.4,80.0,100.0,45.0,0,1,20.0,Gas,0.0,298.0,298.0,Success,10312.5,825.0,515625.00000000006
Nitrogen,1,90,330.0,0.5,80.0,100.0,45.0,0,1,20.0,Gas,0.0,298.0,298.0,Success,8250.0,660.0,412500.00000000006
Nitrogen,1,90,300.0,0.2,80.0,100.0,45.0,0,1,20.0,Gas,0.0,298.0,298.0,Success,18750.0,1500.0,937500.0000000001
Nitrogen,1,90,300.0,0.3,80.0,100.0,45.0,0,1,20.0,Gas,0.0,298.0,298.0,Success,12500.0,1000.0,625000.0
Nitrogen,1,90,300.0,0.4,80.0,100.0,45.0,0,1,20.0,Gas,0.0,298.0,298.0,Success,9375.0,750.0,468750.00000000006
Nitrogen,1,90,300.0,0.5,80.0,100.0,45.0,0,1,20.0,Gas,0.0,298.0,298.0,Success,7500.0,600.0,375000.00000000006
Nitrogen,1,90,370.0,0.1,110.0,100.0,45.0,0,1,20.0,Gas,0.0,298.0,298.0,Success,33636.36363636364,3700.0,1681818.1818181819
Nitrogen,1,90,370.0,0.2,110.0,100.0,45.0,0,1,20.0,Gas,0.0,298.0,298.0,Success,16818.18181818182,1850.0,840909.0909090909
Nitrogen,1,90,370.0,0.3,110.0,100.0,45.0,0,1,20.0,Gas,0.0,298.0,298.0,Success,11212.121212121212,1233.3333333333335,560606.0606060607
